phrasal	meaning	significado	phrase	frase	position
abide by	accept or follow a decision or rule.	aceitar ou seguir uma decisão ou regra	We have to abide by what the court says.	Temos que cumprir o que diz o tribunal.	1
account for	to explain.	explicar, esclarecer, justificar	They had to account for all the money that had gone missing.	Eles tiveram que explicar todo o dinheiro que desapareceu.	2
account for	be the primary cause of	ser a principal causa de	The heat wave accounts for all this food spoilage	A onda de calor é responsável por toda essa deterioração dos alimentos	3
account for	constitute in amount or portion	constituir em quantidade ou porção			4
account for	destroy or put out of action	destruir ou colocar fora de ação			5
account for	explain by relating circumstances	explicar relacionando as circunstâncias			6
account to	answer to; to be responsible to	responder; ser responsável por			7
ache for	want something or someone a lot.	querer muito algo ou alguém	My partner's been away for a fortnight - I am aching for her.	Minha parceira está fora por uma quinzena - estou ansioso por ela.	8
act on	to take action because of something like information received.	agir por causa de algo como informações recebidas	The police were acting on a tip.	A polícia estava agindo em uma dica.	9
act on	affect.	afetar	The medicine only acts on infected tissue.	O medicamento só atua no tecido infectado.	10
act on	to take action that is strongly influenced by certain information or advice.	obedecer, agir de acordo com avisos ou instruções	I didn't want to get in trouble, so I acted on my parents' instructions and came home before curfew.	Eu não queria ter problemas, então segui as instruções dos meus pais e voltei para casa antes do toque de recolher.	11
act on	take action against something	agir	The report is due tomorrow, so I need you to act on it immediately.	O relatório está previsto para amanhã, por isso preciso que aja imediatamente.	12
act on	affect something	afetar	The barking dogs next door are acting on my patience.		13
act on	to impact or affect someone or something in some way	impactar, afetar	Would you two get out of here? You're acting on my nerves!		14
act on 	act decisively on the basis of information received or deduced	tomar ação baseado em informações recebidas 	The police refused to act on his complaint because he was an ex-convict.	A polícia recusou-se a dar seguimento à sua queixa porque ele era um ex-presidiário.	15
act out	to perform a role or behavior	desempenhar um papel ou comportamento	The students acted out a scene from the play.	Os alunos representaram uma cena da peça.	16
act out	perform something with actions and gestures.	realizar algo com ações e gestos, encenar, atuar	They acted out the story on stage.	Eles encenaram a história no palco.	17
act out	express an emotion in your behaviour.	expressar uma emoção em seu comportamento	Their anger is acted out in their antisocial behaviour.	A raiva deles é expressada no comportamento antissocial deles.	18
act out	perform a scene from a play, a charade or an exercise	atuar, interpretar, representar	I don't want to upset my mom during the holidays, so I am acting out the part of dutiful daughter.	Não quero chatear a minha mãe durante as férias, por isso estou a representar o papel de uma filha obediente.	19
act out	perform a fantasy in reality	atuar, interpretar, representar	Jennifer did a superb job acting out the role of Auntie Mary in the play.	Jennifer fez um excelente trabalho interpretando o papel da tia Mary na peça.	20
act out	express one's feelings through disruptive actions	expressar, despejar sentimentos ruins, atitudes que refletem sentimentos ruins	I know you're upset, honey, but you can't act out your displeasure in the grocery store checkout line.	Sei que estás chateada, querida, mas não despeje seus sentimentos de desconforto na fila de compras da loja de produtos.	21
act out	to express one's negative feelings, usually to another person.	expressando, despejando sentimentos	I got tired of Mark constantly acting out his anger out on me, so I ended our relationship.	Eu me cansei de Mark constantemente expressando sua raiva em mim, então eu terminei nosso relacionamento.	22
act out	express ideas or desires through actions rather than words	expressar por gestos	After getting her tonsils removed, Penny had to act out anything she needed.	Após ter suas amídalas removidas, Penny teve que se expressar com gestos tudo que ela precisava.	23
act out	to communicate through actions or gestures instead of words.	expressar por gestos	Henry was suffering from a severe case of laryngitis and had lost his voice, so he had to act out his thoughts during the meeting.	Henry estava sofrendo de um caso severo de laringite e tinha perdido a voz, então ele teve que expressar com gestos os seus pensamentos durante a reunião.	24
act up	to behave inappropriately or malfunction	se comportar de forma inadequada ou mau funcionamento	The computer started to act up and froze.	O computador começou a agir e congelou.	25
act up	behave badly or strangely.	comportar-se mal ou estranhamente	My computer's acting up; I think I might have a virus.	Meu computador está comportando-se mal; Acho que posso ter um vírus.	26
act up	misbehave; cause trouble	aprontar, causar problemas			27
act up to	equal in action; fulfill in practice	igual em ação, preencher na prática			28
act upon	to take action because of something like information received.	agir por causa de algo como informações recebidas	The police were acting upon a tip-off.	A polícia estava agindo em uma dica.	29
act upon	affect.	afetar, abalar, simular	The enzyme acts upon certain proteins.	A enzima age em certas proteínas.	30
act upon	take action on the basis of information received or deduced	tomar uma atitude com base em informações recebidas			31
add on	include in a calculation.	incluir em um cálculo	You have to add the tax on to the price they give.	Você tem que adicionar o imposto sobre o preço que eles dão.	32
add up	to make a mathematical total.	fazer um total matemático, soma, adição	We added up the bill to check it was correct.	Nós somamos a conta para verificar se estava correta.	33
add up	be a satisfactory explanantion for something.	uma explicação satisfatória para algo.	She explained why the work wasn't ready, but her story doesn't add up.	Ela explicou por que o trabalho não estava pronto, mas sua história não da uma explicação satisfatória.	34
add up to	equal	somou, deu, totalizou, resultou	Your purchases add up to $205.32.	Suas compras totalizaram US $ 205,32.	35
add up to	have a certain result.	totalizar, adicionar até.	Trains delays are getting worse and with the high fares, it all adds up to misery for the commuters.	Os atrasos dos trens estão piorando e com as altas tarifas, tudo isso soma para a miséria para os passageiros.	36
add up to	come to a certain amount or figure.	chegar a uma certa quantia ou valor	The total costs add up to several million euros.	Os custos totais somam até vários milhões de euros.	37
add up to something	equal	totalizar, somar, resultar	Your purchases add up to $205.32.	Suas compras totalizaram US $ 205, 32.	38
admire to	be enthusiastic about doing	ter entusiasmo em fazer			39
adopt out	send a son or daughter away to live in another country	enviar um filho ou filha para morar em outro país			40
age out	become too old for an activity, program or institution; to become too mature for a behavior	ficar velho demais para uma atividade, programa ou instituição; tornar-se maduro demais para um comportamento			41
agree with	affect - usually used in the negative to show that something has had a negative effect, especially is it makes you feel bad.	concordar com, ter efeito negativo	I feel terrible - that food didn't agree with my stomach.	me sinto terrível - aquela comida não caiu bem no meu estômago.	42
aim at	to point a weapon at someone or something.	apontar uma arma para alguém ou algo assim.	The magazine is aimed at teenagers.	A revista é voltada para adolescentes.	43
aim at	to target.	visar, apontar, ter por objetivo, mirar em.	The magazine is aimed at teenagers.	A revista é voltada para adolescentes.	44
aim at	intend to achieve.	pretende alcançar	They're aiming at reducing costs by ten percent.	Eles estão intentando reduzir custos em dez por cento.	45
aim at	to point a weapon at someone or something.	apontar uma arma para alguém ou algo assim.	The magazine is aimed at teenagers.	A revista é voltada para adolescentes.	46
aim at	to target a particular issue or goal.	atingir um determinado problema ou objetivo.	The new program is aimed at helping struggling students get the tutoring they need to succeed in class.		47
aim at	intend to do or achieve	pretende fazer ou alcançar			48
aim to	to intend, plan, or mean to do something.	pretender, planejar ou querer fazer algo.			49
allow for	include something in a plan or calculation.	incluir algo em um plano ou cálculo	You should allow for delays when planning a journey.	Você deve incluir atrasos ao planejar uma jornada.	50
allow for	take into account when making plans	leve em consideração ao fazer planos			51
allow of	make possible, permit.	tornar possível, permitir	The rules don't allow of any exceptions.	As regras não tornam possível quaisquer exceções.	52
angle for	try to get something indirectly, by hinting or suggesting.	tentar obter algo indiretamente, insinuando ou sugerindo.	He's been angling for an invitation, but I don't want him to come.	Ele está dando uma indireta para ser convidado, mas eu não quero que ele venha.	53
answer back	to reply rudely to someone in authority.	responder rudemente a alguém com autoridade	Her mother was shocked when she started answering her back and refusing to help.	Sua mãe ficou chocada quando ela começou a respondê-la rudemente e se recusando a ajudar.	54
answer back	reply impertinently; to talk back	responder de volta	I called them last week, but they haven't answered me back yet.	Liguei-lhes na semana passada, mas ainda não me responderam.	55
answer back	to reply to one; to answer one's question or query.	responder de volta			56
answer back	reply to a question at a later time	responder			57
answer for	be held responsible for a problem.	ser responsabilizado por um problema	The government should be made to answer for their failure to sort out the problem.	O governo deve ser feito para responder por sua falha em resolver o problema.	58
answer for	speak on behalf of someone or from knowing them.	falar em nome de alguém ou por conhecê-lo	I can answer for my partner because I know her position on this issue.	Posso falar em nome da minha parceira porque eu sei da posição dela sobre esse assunto.	59
answer for	be held responsible for; to take the blame for something	ser responsabilizado por, assumir a culpa por algo			60
answer for	to speak on another person's behalf.	para falar em nome de outra pessoa.			61
answer for	to accept responsibility for one's misdeeds.	aceitar a responsabilidade pelos próprios erros.	Now that he's been caught, the thief will answer for his crimes.	Agora que ele foi pego, o ladrão responderá pelos seus crimes.	62
answer for	to accept responsibility or blame for something	aceitar a responsabilidade ou a culpa por algo	I got into law to make sure that murderers answer for their heinous crimes.		63
answer for	to explain or justify the actions of someone or some act; to take responsibility or blame for someone or something.	explicar ou justificar ações dos atos de alguém, assumir a responsabilidade ou culpa de alguém			64
answer for	guarantee, to endorse another person.	garantir, endossar outra pessoa.	I don't know Josh that well, so I'm afraid I can't answer for him.		65
answer for	vouch for (someone); to attest to the character of (someone)	atestar alguém, atestar o caráter de alguém			66
answer to	be accountable or responsible to	ser responsável ou responsabilizado por			67
answer to	justify oneself to (someone)	justificar a si mesmo			68
answer to	respond to (a name); to treat as one's own name	responder a um nome, ser chamado	"My daughter Margaret has decided that she only answers to ""Calliope"" now."		69
answer to	to report to a superior.	reportar a um superior	Now that I'm your boss, you answer to me in all matters.		70
answer to	to explain one's actions, decisions, or misdeeds to a person in authority who may consider punishment.	explicar as ações, decisões ou delitos a uma pessoa com autoridade que pode considerar uma punição.			71
apply for	to request something, usually officially, especially in writing or by sending in a form	candidatar-se para	Apply for internship.	Candidatar-se para estágio.	72
apply to	to pursue something, such as a job, often through a formal process	candidatar-se para	I applied to four colleges.	Candidatei-me a quatro faculdades.	73
argue down	beat someone in a debate, discussion or argument.	vencer alguém em um debate, discussão.	The teacher tried to argue the girl down, but she couldn't.	A professora tentou vencer no debate a garota, mas ela não conseguiu.	74
argue down	persuade someone to drop the price of something they're selling.	persuadir alguém a baixar o preço de algo que está vendendo	She argued him down ten percent.	Ela persuadiu ele a baixar dez por cento.	75
argue down	try to persuade people not to accept a proposition, motion, etc.	tentar persuadir as pessoas a não aceitar uma proposta, etc.	They tried to argue down the proposal.	Eles tentaram persuadir a não aceitar a proposta.	76
argue out	argue about a problem to find a solution.	discutir sobre um problema para encontrar uma solução	If we can't argue our differences out, we'll have to take them to court.	Se não podemos discutir nossas diferenças, teremos que levá-los ao tribunal.	77
ask about	ask how someone is doing, especially professionally and in terms of health.	perguntar como alguém está, especialmente profissionalmente e em termos de saúde	He asked about my father.	Ele perguntou sobre meu pai.	78
ask after	enquire about someone's health, how life is going.	perguntar sobre a saúde de alguém, como vai a vida.	Jenny rang earlier and asked after you, so I told her you were fine.	Jenny tocou mais cedo e perguntou sobre você, então eu disse a ela que você estava bem.	79
ask after	enquire about someone's health, how life is going.	questionar sobre a saúde de alguém, como vai a vida			80
ask around	ask many people the same question	perguntar para muitas pessoas a mesma questão	I asked around but nobody has seen my wallet.	Eu perguntei, mas ninguém viu minha carteira.	81
ask around	ask many people the same question	perguntar para muitas pessoas a mesma questão	I asked around but nobody has seen my wallet.	Eu perguntei, mas ninguém viu minha carteira.	82
ask around	ask a number of people for information of help.	pedir a várias pessoas informações de ajuda.	I have no idea, but I'll ask around at work and see if anyone can help.	Não tenho ideia, mas vou perguntar para as pessoas do trabalho e ver se alguém pode ajudar.	83
ask around	invite someone.	convidar alguém	We asked them around for dinner.	Convidamos eles para jantar.	84
ask around	enquire of different people about something	questionar sobre algo a diversas pessoas	Maybe you should ask around to find out more about this guy.		85
ask for	to request or invite someone to do something	pedir ou convidar alguém para fazer algo	I'm going to ask for help with this difficult task.	Vou pedir ajuda nesta difícil tarefa.	86
ask for	to request something.	solicitar algo.	You're asking for trouble.	Você está pedindo problemas.	87
ask for	to provoke a negative reaction.	provocar uma reação negativa.	You're asking for trouble.	Você está pedindo problemas.	88
ask for	request to have or be given.	pedir para ter ou ser dado	I asked for the menu.	Pedi o menu.	89
ask for	to request something.	solicitar algo.	You're asking for trouble.	Você está pedindo problemas.	90
ask for	request	pedir, solicitar			91
ask for	increase the likelihood of something by persisting in some action; to invite	aumentar a probabilidade de algo persistir em alguma ação, convidar			92
ask in	to invite somebody into your house.	convidar alguém para sua casa.	Jon's at the door. ask him in.	Jon está na porta. Convide ele para entrar.	93
ask in	invite someone to enter one's house	convidar alguém para entrar na sua casa			94
ask one around	to ask one to come visit one's house.	pedir para alguém te visitar em casa	I asked Mary around to watch a movie, but she was busy.		95
